Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
2025,Complete,AUZUS0313,Aviation,Dulles Airport - United Airlines Terminal,J&J Construction,"1 Saarinen Circle Dulles, VA. 20166",Virginia,38.94891,-77.45099556,
2020,Complete,AUZUS0141,Aviation,Franklin Aviation,Jordan Foster - El Paso,1800 Hawkins Blvd El Pao TX 79925,Texas,31.79717177,-106.3718929,
2025,Complete,AUZUS0238,Aviation,DFW Terminal C Reno,Suffolk Construction,"2330 International Pkwy, DFW Airport, Texas, 75261",Texas,32.89908941,-97.03597297,
2025,Complete,AUZUS0319,Aviation,Ronald Reagan Washington National Airport (DCA) Breakrooms,J&J Construction,"2401 Ronald Regan Washington National Access Rd., Arlington, VA. 22202",Virginia,38.8512427,-77.04023079,
In Progress,Active,AUZUS0277,Aviation,"George Bush International Airport (IAH) - United Airlines, Terminal B",Clark Construction,"2800 N Terminal Rd, Houston, TX 77032",Texas,29.98567172,-95.33206284,
2025,Complete,AUZUS0221,Aviation,TPA Airside A&E,Suffolk Construction,"4100 George J. Bean Parkway  Tampa, FL 33604",Florida,27.98025946,-82.53814562,
2023,Complete,AUZUS0177,Aviation,Goodwill Airport Freeway,FPI Builders,"4200 Airport Freeway Fort Worth, TX76117",Texas,32.7752801,-97.28539212,
In Progress,Active,AUZUS0296,Aviation,MTN ATC Tower,Towson Mechanical Inc,"701 Wilson Point Rd. Baltimore, MD 21220",Maryland,39.32786673,-76.42195198,
2025,Complete,AUZUS0290,,3201 Olympus - Paseo Panel Repair,"Billingsly Property Services II, Inc",3201 Olympus Blvd. Coppell TX 75019,Texas,32.93681745,-96.98439379,
2025,Complete,AUZUS0230,Aviation,FAA ARSR,"Griffith Contracting, LLC","9585 SE 59th St. Oklahoma City, OK 73150",Oklahoma,35.40617952,-97.35987131,
2017,Complete,AUZUS0077,Aviation,Eglin Acurl,Sauer Inc,Eglin FL.  Air Force Base,Florida,30.47519144,-86.56230712,
2022,Complete,AUZUS0176,Aviation,FAA (Fabrication Project),Balfour Beatty - Dallas,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76162987,-96.89351495,
2019,Complete,AUZUS0088,Church,First Baptist Church Forney,Hill & Wilkinson,1003 College Street Fourney TX 75126,Texas,32.73507758,-96.46512376,https://www.auzmet.com/first-baptist-church-forney
2020,Complete,AUZUS0122,Church,First Baptist Church Horner,Austin Commercial - Dallas,1707 San Jacinto St Dallas TX 75201,Texas,32.78516966,-96.79985206,
2016,Complete,AUZUS0033,Church,CHASE OAKS CHURCH,Medco Construction,281 Legacy Dr Plano TX 75023,Texas,33.068665,-96.696456,
2025,Complete,AUZUS0244,Church,Christ Chapel Bible Church,FPI Builders,"3740 Birchman Ave. Fort Worth, TX, 76107",Texas,32.7345411,-97.37175978,
In Progress,Active,AUZUS0257,Commercial,Gregg County Parking Garage,Spawglass,"101 E Methvin St, Longview TX, 75601",Texas,32.49689988,-94.73877972,
2017,Complete,AUZUS0060,Commercial,Broadstone Park place,Alliance Residential,1025 Preston Rd. Plano TX 75093,Texas,33.01522727,-96.79678874,
2024,Complete,AUZUS0174,Commercial,Symphony Square - Office,Greystar,"1104 Sabine St, Austin, TX 78701",Texas,30.27112792,-97.73444705,
2020,Complete,AUZUS0135,Commercial,Interlock Atlanta,Armada Hoffler Construction,1115 Howell Mill Rd Atlanta GA 30318,Georgia,33.78526266,-84.4113683,
2025,Complete,AUZUS0247,Commercial,Bank 7,Precision Group,"115 W A St, Watonga, OK 73772",Oklahoma,35.84297027,-98.41387594,
2024,Complete,AUZUS0175,Commercial,Broadmoor Block A,White Construction,"11515 Burnet Road, Austin, TX 78758",Texas,30.40075539,-97.71810485,
2019,Complete,AUZUS0105,Commercial,Intergis Moore OK - West,Admiral Roofing,1204 N. Flood Norman OK 73069,Oklahoma,35.23085121,-97.45379889,
2022,Complete,AUZUS0170,Commercial,N. Dallas Bank & Trust,Pacific Builders,"12900 Preston Rd Dallas, TX 75230",Texas,32.92397133,-96.80289943,
